movieId,average_sentiment,review_count
1,5.592884160038165,100
6,5.446346467975099,100
16,5.4678916460920854,100
48,5.52579184863705,100
62,5.540390341260657,100
70,5.42617182599043,100
104,5.566754322502719,100
110,5.458748857784829,100
111,5.427212171356221,100
150,5.483978859677008,100
215,5.553731400918081,100
235,5.507536078568532,100
253,5.443334598267653,100
260,5.453339293876256,100
266,5.458249431157831,100
296,5.513651290569349,100
300,5.4347735828136425,100
356,5.556936849203376,100
377,5.4665637751776455,100
475,5.40094148519916,100
480,5.526138836516636,100
524,5.514624560909524,100
527,5.433356560108654,100
541,5.453014306597537,100
553,5.449367573992571,100
555,5.52591926612936,100
586,5.578103911008059,100
587,5.463660659194995,100
588,5.58917405422177,200
589,5.475333988430371,100
594,5.5415170012812105,100
595,5.548837928676149,200
597,5.553904915676159,100
608,5.4506643228196925,100
648,5.40973818849629,100
665,5.4365651762702,100
673,5.527539140659194,100
750,5.396749076199728,100
760,5.280248339453516,100
778,5.410152702810504,100
785,5.5061195208328915,100
899,5.587721650667759,100
903,5.429069415570178,100
904,5.485224839991238,100
908,5.459357777899913,100
910,5.529739701663606,100
912,5.479778278450506,100
920,5.43354083854258,100
923,5.470438809058846,100
924,5.446087814470417,100
946,5.43629053423214,100
953,5.534574161597533,100
1022,5.544823510025562,100
1032,5.44079286248351,100
1036,5.42945400218308,100
1042,5.56870733197023,100
1066,5.557566022401012,100
1080,5.492196331693459,100
1088,5.571075596113111,100
1089,5.444636668018534,100
1090,5.310850776804473,100
1097,5.508790504526996,100
1100,5.477102445710586,100
1136,5.47822757653795,100
1178,5.345107833799175,100
1193,5.471564828977226,100
1196,5.465311548549272,100
1200,5.45350813699989,100
1203,5.445910389688131,100
1204,5.473430099310739,100
1207,5.4536142688161044,100
1208,5.362191479304357,100
1210,5.385241557344084,100
1213,5.459800163571158,100
1214,5.396375520954061,100
1215,5.3457003132012035,100
1217,5.420397343308277,100
1219,5.408654458425051,100
1222,5.334649597171697,99
1225,5.50506816852921,100
1227,5.427965903946269,100
1228,5.418760805341379,100
1230,5.523478643081161,100
1242,5.407085338136158,100
1246,5.5166329445565365,100
1252,5.443182868311326,100
1256,5.473440903850584,100
1265,5.500321651555001,100
1270,5.557065196617345,100
1272,5.403387941027308,100
1274,5.438622000921884,100
1287,5.469227403977511,100
1288,5.517723616390518,100
1291,5.487964384578527,100
1293,5.462903901008051,100
1304,5.474070326872025,100
1307,5.570753791094867,100
1345,5.412348282854623,100
1357,5.520808995771884,100
1370,5.338806879570367,100
1377,5.459433941431976,100
1380,5.534519161906815,100
1387,5.426356355877718,100
1393,5.52425157482243,100
1407,5.375048084101845,100
1430,5.385931581596057,100
1466,5.4251966223196675,100
1483,5.405803687880135,100
1485,5.484717035628003,100
1552,5.442210142163474,100
1566,5.537258607238893,100
1584,5.483654772012942,100
1586,5.390301650252477,100
1590,5.363650051769299,100
1617,5.474105572405046,100
1619,5.452470860886755,100
1645,5.400231706512553,100
1663,5.46820820742501,100
1690,5.352298689783768,100
1693,5.400899085431692,100
1704,5.51786586686624,100
1717,5.364053507264606,100
1721,5.4799602515377615,100
1729,5.440432150844446,100
1748,5.4421462375254075,100
1760,5.516000710660802,100
1784,5.505211766374804,100
1791,5.430390545217282,100
1797,5.394894601150737,100
1840,5.501859318362425,100
1882,5.368143870007211,100
1889,5.3958286315830355,100
1907,5.562848308398761,100
1917,5.430376903654783,100
1921,5.438711215024338,100
1923,5.514476178019157,100
1927,5.328999698654833,100
1944,5.4522816724156655,100
1954,5.465633444698949,100
1957,5.510701573712728,100
1982,5.389035429300385,100
2003,5.456775982131481,100
2011,5.472540766847504,100
2012,5.44249856510385,100
2028,5.38121443987805,100
2060,5.509572395005257,100
2067,5.465023773859224,100
2143,5.423431053244219,100
2160,5.402261912943268,100
2167,5.4340491139124625,100
2174,5.50231648303507,100
2188,5.448010629441029,100
2202,5.434453929255662,100
2204,5.391669474596026,100
2205,5.441314093044043,100
2232,5.39092726861486,100
